,0.859226,23.9345,50,50,0,1,0,1,Platform.png
,405.128,509.459,308.5,100,0,1,0,1,Platform.png
,116.128,279.459,140.8,100,0,1,0,1,Platform.png
,843,565.546,79,50,0,1,0,1,Platform.png
,1060,476.5,116.8,48.6,0,1,0,1,Platform.png
,1254,379.5,88.5,50,0,1,0,1,Platform.png
,1454,505.5,126.7,50,0,1,0,1,Platform.png
,1657,386.5,120,50,0,1,0,1,Platform.png
,1881.5,298.5,146.5,50,0,1,0,1,Platform.png
,2136,260.5,101.1,50,0,1,0,1,Platform.png
Platform,2372,471.5,106.5,50,0,1,0,1,Platform.png
,2622.95,363.215,61.6,50,0,1,0,1,Platform.png
,2848.32,287.053,75,60.8,0,1,0,1,Platform.png
Platform,3072.39,295.748,50,50,0,1,0,1,Platform.png
Wall,716.456,484.49,18.4,28,1,1,0,1,
Wall,376.464,488.498,18.4,28,1,1,0,1,
,261.505,268.047,20.1,35.3,1,1,0,1,
,85.885,269.632,20.1,35.3,1,1,0,1,
